age,education,education-num,marital-status,occupation,race,sex,hours-per-week,native-country,income
55,HS-grad,9,Married-civ-spouse,Sales,White,Male,56,United-States,>50K
24,Some-college,10,Never-married,Armed-Forces,White,Male,40,United-States,<=50K
41,Masters,14,Married-civ-spouse,?,White,Female,10,United-States,>50K
59,Bachelors,13,Never-married,Exec-managerial,White,Female,25,United-States,<=50K
49,7th-8th,4,Never-married,Other-service,Black,Male,20,United-States,<=50K
33,Masters,14,Married-civ-spouse,Prof-specialty,White,Female,10,United-States,>50K
59,Bachelors,13,Divorced,Adm-clerical,White,Male,40,United-States,<=50K
34,Masters,14,Never-married,Other-service,Amer-Indian-Eskimo,Male,40,United-States,<=50K
20,HS-grad,9,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K
25,Bachelors,13,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
49,10th,6,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,<=50K
59,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
20,HS-grad,9,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
51,Some-college,10,Married-civ-spouse,?,White,Female,18,United-States,<=50K
33,Some-college,10,Never-married,Adm-clerical,Black,Female,35,United-States,<=50K
22,Some-college,10,Never-married,Transport-moving,Black,Male,39,United-States,<=50K
58,9th,5,Widowed,Other-service,White,Female,40,United-States,<=50K
52,HS-grad,9,Widowed,Adm-clerical,White,Female,28,United-States,<=50K
36,10th,6,Separated,Machine-op-inspct,White,Female,40,United-States,<=50K
41,HS-grad,9,Married-civ-spouse,Protective-serv,White,Male,40,United-States,<=50K
28,HS-grad,9,Never-married,Transport-moving,White,Male,40,United-States,<=50K
19,Some-college,10,Never-married,Handlers-cleaners,Black,Male,16,United-States,<=50K
18,HS-grad,9,Never-married,Other-service,White,Female,28,United-States,<=50K
18,HS-grad,9,Never-married,Machine-op-inspct,White,Female,48,United-States,<=50K
28,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
29,Assoc-voc,11,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
20,HS-grad,9,Never-married,?,White,Female,20,United-States,<=50K
40,Some-college,10,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K
26,HS-grad,9,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K
46,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
23,11th,7,Never-married,Other-service,White,Female,24,United-States,<=50K
44,HS-grad,9,Married-spouse-absent,Adm-clerical,White,Female,40,United-States,<=50K
43,Bachelors,13,Divorced,Sales,White,Female,40,United-States,>50K
31,Bachelors,13,Divorced,Prof-specialty,White,Female,60,United-States,<=50K
18,Some-college,10,Never-married,Sales,White,Female,25,United-States,<=50K
19,Some-college,10,Never-married,Protective-serv,White,Male,30,United-States,<=50K
41,Some-college,10,Divorced,Tech-support,White,Female,40,United-States,<=50K
41,HS-grad,9,Divorced,Handlers-cleaners,White,Female,40,United-States,<=50K
69,HS-grad,9,Divorced,Adm-clerical,White,Female,25,United-States,<=50K
48,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
28,HS-grad,9,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
27,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,60,Ireland,>50K
41,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
41,Some-college,10,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
24,HS-grad,9,Never-married,Craft-repair,Black,Female,40,United-States,<=50K
20,HS-grad,9,Never-married,?,White,Female,40,United-States,<=50K
42,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Male,41,United-States,>50K
57,HS-grad,9,Married-civ-spouse,Craft-repair,Black,Male,48,United-States,<=50K
30,Assoc-acdm,12,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
36,HS-grad,9,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
49,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Black,Male,40,United-States,<=50K
33,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Female,35,United-States,<=50K
23,10th,6,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,<=50K
46,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K
18,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,22,Germany,<=50K
40,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
43,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
34,Masters,14,Never-married,Prof-specialty,White,Female,30,United-States,<=50K
47,HS-grad,9,Widowed,Exec-managerial,White,Female,30,United-States,<=50K
44,Assoc-voc,11,Widowed,Exec-managerial,White,Female,30,United-States,<=50K
33,HS-grad,9,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
55,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
19,HS-grad,9,Never-married,Sales,White,Male,30,United-States,<=50K
28,Some-college,10,Never-married,Other-service,Black,Male,14,United-States,<=50K
27,11th,7,Married-civ-spouse,Other-service,Black,Female,32,United-States,<=50K
50,7th-8th,4,Married-civ-spouse,Machine-op-inspct,White,Male,20,United-States,<=50K
22,11th,7,Never-married,Craft-repair,White,Male,40,United-States,<=50K
40,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,45,United-States,>50K
25,Some-college,10,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
26,HS-grad,9,Never-married,Craft-repair,White,Male,40,United-States,<=50K
22,Bachelors,13,Never-married,Sales,White,Male,25,United-States,<=50K
42,Some-college,10,Never-married,Handlers-cleaners,Black,Female,40,United-States,<=50K
38,Bachelors,13,Divorced,Exec-managerial,White,Male,40,United-States,<=50K
55,11th,7,Married-civ-spouse,Other-service,White,Male,30,United-States,<=50K
32,HS-grad,9,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K
22,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,45,United-States,<=50K
29,Bachelors,13,Never-married,Sales,White,Male,40,United-States,<=50K
46,Masters,14,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
31,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
58,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Male,16,United-States,>50K
42,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,45,United-States,<=50K
18,HS-grad,9,Never-married,Handlers-cleaners,White,Male,25,United-States,<=50K
58,HS-grad,9,Divorced,Exec-managerial,White,Male,33,United-States,<=50K
54,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
34,Masters,14,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
26,Bachelors,13,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
61,12th,8,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,<=50K
48,Masters,14,Separated,Adm-clerical,Black,Female,40,United-States,<=50K
36,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
24,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,White,Male,45,United-States,<=50K
40,Some-college,10,Married-civ-spouse,Machine-op-inspct,White,Male,37,United-States,<=50K
33,HS-grad,9,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
37,Some-college,10,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K
34,Masters,14,Never-married,Exec-managerial,White,Male,40,United-States,<=50K
56,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
28,HS-grad,9,Married-civ-spouse,?,White,Female,38,United-States,>50K
37,Bachelors,13,Widowed,Exec-managerial,White,Female,55,United-States,<=50K
44,HS-grad,9,Divorced,Sales,Black,Female,40,United-States,<=50K
64,Some-college,10,Married-civ-spouse,?,White,Male,8,United-States,<=50K
54,HS-grad,9,Divorced,Handlers-cleaners,White,Male,45,United-States,<=50K
23,HS-grad,9,Never-married,Machine-op-inspct,White,Male,50,United-States,<=50K
34,Bachelors,13,Married-spouse-absent,Farming-fishing,Black,Male,40,?,<=50K
22,HS-grad,9,Never-married,Other-service,White,Female,45,United-States,<=50K
33,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
39,Bachelors,13,Separated,Prof-specialty,White,Male,50,United-States,>50K
47,Some-college,10,Divorced,Adm-clerical,Black,Female,37,United-States,<=50K
79,7th-8th,4,Widowed,?,White,Male,40,United-States,<=50K
26,HS-grad,9,Never-married,Prof-specialty,Black,Female,55,United-States,<=50K
31,Some-college,10,Divorced,Exec-managerial,White,Female,40,United-States,<=50K
44,Some-college,10,Never-married,Transport-moving,White,Male,45,United-States,<=50K
42,Prof-school,15,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,>50K
19,HS-grad,9,Never-married,Machine-op-inspct,White,Female,40,United-States,<=50K
27,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,>50K
51,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
28,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,<=50K
57,Bachelors,13,Divorced,Craft-repair,White,Male,45,United-States,<=50K
45,Bachelors,13,Divorced,Prof-specialty,White,Female,40,United-States,<=50K
50,Assoc-voc,11,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
34,Bachelors,13,Married-civ-spouse,Sales,White,Male,54,United-States,<=50K
45,7th-8th,4,Married-civ-spouse,Craft-repair,Black,Male,40,United-States,<=50K
73,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,20,United-States,<=50K
34,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,>50K
31,Some-college,10,Married-civ-spouse,Sales,White,Male,55,United-States,>50K
19,11th,7,Never-married,Sales,White,Male,12,United-States,<=50K
25,Some-college,10,Never-married,Other-service,White,Female,50,United-States,<=50K
38,Assoc-voc,11,Divorced,Craft-repair,White,Female,40,United-States,<=50K
39,Bachelors,13,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K
23,Bachelors,13,Never-married,Tech-support,Black,Female,32,United-States,<=50K
49,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K
33,HS-grad,9,Never-married,Other-service,White,Male,32,United-States,<=50K
21,5th-6th,3,Never-married,Machine-op-inspct,White,Male,38,Mexico,<=50K
31,Assoc-voc,11,Separated,Craft-repair,White,Male,40,United-States,<=50K
23,Bachelors,13,Never-married,Exec-managerial,White,Female,45,United-States,<=50K
34,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,40,Philippines,<=50K
25,HS-grad,9,Never-married,Machine-op-inspct,Asian-Pac-Islander,Female,40,Philippines,<=50K
39,HS-grad,9,Never-married,Craft-repair,White,Male,40,United-States,<=50K
52,HS-grad,9,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
63,9th,5,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
41,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
46,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,38,United-States,>50K
53,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
25,9th,5,Separated,?,White,Female,40,United-States,<=50K
77,Some-college,10,Married-civ-spouse,?,White,Male,35,United-States,<=50K
18,12th,8,Never-married,Priv-house-serv,White,Male,40,United-States,<=50K
38,Prof-school,15,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
55,Masters,14,Never-married,Exec-managerial,Asian-Pac-Islander,Female,50,Thailand,<=50K
34,HS-grad,9,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
80,HS-grad,9,Married-civ-spouse,Other-service,White,Male,30,United-States,<=50K
34,Assoc-voc,11,Divorced,Tech-support,White,Female,60,United-States,<=50K
52,Some-college,10,Married-civ-spouse,Tech-support,White,Male,40,United-States,<=50K
42,HS-grad,9,Never-married,Other-service,Black,Female,28,Haiti,<=50K
26,Some-college,10,Never-married,Sales,White,Female,40,United-States,<=50K
31,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K
25,HS-grad,9,Never-married,Other-service,White,Female,35,United-States,<=50K
55,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,60,United-States,<=50K
19,Some-college,10,Never-married,Other-service,White,Female,12,United-States,<=50K
62,Some-college,10,Married-civ-spouse,Transport-moving,White,Male,32,United-States,<=50K
22,Some-college,10,Never-married,Adm-clerical,White,Female,20,United-States,<=50K
39,HS-grad,9,Married-civ-spouse,?,White,Female,50,United-States,<=50K
35,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K
28,HS-grad,9,Married-civ-spouse,Sales,White,Female,40,United-States,<=50K
47,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,70,United-States,>50K
44,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K
21,Some-college,10,Never-married,Sales,White,Male,15,United-States,<=50K
35,Assoc-voc,11,Never-married,Craft-repair,White,Male,50,United-States,<=50K
24,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
42,Bachelors,13,Never-married,Prof-specialty,White,Male,40,?,<=50K
28,Bachelors,13,Never-married,Tech-support,White,Male,50,United-States,<=50K
21,Some-college,10,Never-married,Machine-op-inspct,White,Male,35,United-States,<=50K
62,Some-college,10,Divorced,Tech-support,Black,Male,40,United-States,<=50K
39,HS-grad,9,Never-married,Other-service,Black,Female,40,United-States,<=50K
30,HS-grad,9,Never-married,Other-service,White,Male,40,United-States,<=50K
72,Prof-school,15,Never-married,Prof-specialty,White,Male,20,United-States,<=50K
50,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,50,United-States,<=50K
28,Masters,14,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
29,Some-college,10,Never-married,Prof-specialty,White,Female,40,United-States,<=50K
26,Bachelors,13,Never-married,Adm-clerical,White,Female,40,United-States,<=50K
27,Masters,14,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
29,Some-college,10,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,>50K
61,HS-grad,9,Married-civ-spouse,?,White,Male,40,United-States,<=50K
29,10th,6,Married-civ-spouse,Craft-repair,White,Male,25,United-States,<=50K
21,Some-college,10,Never-married,?,White,Female,30,United-States,<=50K
31,11th,7,Married-civ-spouse,Sales,White,Female,20,United-States,<=50K
25,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,75,United-States,<=50K
58,10th,6,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
64,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
46,Masters,14,Never-married,Exec-managerial,White,Male,38,United-States,<=50K
53,HS-grad,9,Married-civ-spouse,?,White,Male,35,United-States,>50K
19,HS-grad,9,Never-married,Other-service,Amer-Indian-Eskimo,Female,35,United-States,<=50K
42,HS-grad,9,Divorced,Other-service,Black,Male,52,United-States,<=50K
18,11th,7,Never-married,Handlers-cleaners,White,Male,24,United-States,<=50K
58,Bachelors,13,Married-civ-spouse,Craft-repair,White,Male,50,United-States,>50K
20,Some-college,10,Never-married,Protective-serv,Black,Male,60,United-States,<=50K
35,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
32,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,38,United-States,>50K
23,HS-grad,9,Never-married,Handlers-cleaners,White,Female,25,United-States,<=50K
31,Some-college,10,Divorced,Tech-support,White,Female,40,United-States,<=50K
33,Bachelors,13,Married-civ-spouse,Sales,Black,Male,55,United-States,<=50K
41,Some-college,10,Never-married,Machine-op-inspct,White,Female,48,United-States,<=50K
22,HS-grad,9,Never-married,Machine-op-inspct,Black,Male,40,United-States,<=50K
46,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
61,Some-college,10,Married-civ-spouse,Transport-moving,Black,Male,40,United-States,<=50K
30,HS-grad,9,Never-married,Exec-managerial,Black,Male,40,United-States,<=50K
42,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
63,10th,6,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K
26,Some-college,10,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K
42,10th,6,Divorced,Adm-clerical,White,Female,40,United-States,<=50K
23,Some-college,10,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K
25,HS-grad,9,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K
30,9th,5,Married-civ-spouse,Other-service,White,Male,32,El-Salvador,>50K
23,HS-grad,9,Never-married,Sales,White,Male,40,United-States,<=50K
34,Assoc-voc,11,Never-married,Farming-fishing,White,Male,60,United-States,>50K
30,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,48,United-States,<=50K
39,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
30,11th,7,Never-married,Handlers-cleaners,White,Male,38,Puerto-Rico,<=50K
38,Some-college,10,Divorced,Adm-clerical,White,Female,38,United-States,<=50K
26,HS-grad,9,Divorced,Exec-managerial,White,Female,40,United-States,<=50K
20,Some-college,10,Never-married,Handlers-cleaners,White,Male,16,United-States,<=50K
37,Bachelors,13,Never-married,Prof-specialty,Black,Male,40,?,<=50K
33,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,<=50K
24,Bachelors,13,Never-married,Adm-clerical,White,Male,40,United-States,<=50K
42,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
51,HS-grad,9,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,84,Vietnam,<=50K
56,Assoc-acdm,12,Married-civ-spouse,Tech-support,White,Male,45,United-States,>50K
22,Some-college,10,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K
52,Some-college,10,Married-civ-spouse,Farming-fishing,White,Male,60,United-States,<=50K
44,Bachelors,13,Divorced,Exec-managerial,White,Female,45,United-States,>50K
34,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Female,35,United-States,<=50K
51,Some-college,10,Divorced,Craft-repair,White,Male,42,United-States,>50K
20,Some-college,10,Never-married,?,White,Male,40,United-States,<=50K
19,Some-college,10,Never-married,Sales,White,Female,25,United-States,<=50K
37,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
68,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Black,Male,40,United-States,>50K
22,Some-college,10,Divorced,Protective-serv,White,Male,40,United-States,<=50K
56,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
37,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
52,1st-4th,2,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,<=50K
26,HS-grad,9,Separated,Handlers-cleaners,White,Male,40,Puerto-Rico,<=50K
33,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
45,Masters,14,Divorced,Prof-specialty,White,Female,42,United-States,<=50K
18,11th,7,Never-married,Other-service,White,Male,15,United-States,<=50K
43,Some-college,10,Married-civ-spouse,Farming-fishing,White,Male,60,United-States,>50K
64,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Male,50,?,>50K
18,HS-grad,9,Never-married,Handlers-cleaners,White,Male,20,United-States,<=50K
20,Some-college,10,Never-married,?,White,Male,45,United-States,<=50K
57,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
41,HS-grad,9,Divorced,Adm-clerical,White,Female,42,United-States,<=50K
34,Masters,14,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
19,HS-grad,9,Never-married,Sales,White,Female,40,United-States,<=50K
44,9th,5,Divorced,Other-service,White,Female,55,Dominican-Republic,<=50K
56,10th,6,Widowed,Other-service,White,Female,40,United-States,<=50K
36,HS-grad,9,Married-civ-spouse,Farming-fishing,White,Male,80,United-States,<=50K
48,Bachelors,13,Divorced,Exec-managerial,White,Female,48,United-States,<=50K
29,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
33,Bachelors,13,Never-married,Craft-repair,White,Male,40,United-States,<=50K
31,5th-6th,3,Married-civ-spouse,Other-service,White,Male,40,Mexico,<=50K
39,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
66,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
27,Bachelors,13,Never-married,Prof-specialty,White,Female,50,United-States,>50K
39,HS-grad,9,Divorced,Exec-managerial,Black,Female,40,United-States,>50K
